project,releaseId,methodPath,loc,cyclomaticComplexity,cognitiveComplexity,statements,nestingDepth,parameterCount,codeSmells,bugginess
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/writeComplete,6,0,0,0,1,5,0,yes
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/process,46,0,0,0,4,3,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fatalError,4,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/diskFailed,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/diskFull,2,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/allDisksFull,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java/getName,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java/BookieBean,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java/isHidden,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java/getQueueLength,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/UpgradeException,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/UpgradeException,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/UpgradeException,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieUnauthorizedAccessException,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/InvalidCookieException,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/InvalidCookieException,3,0,0,0,0,0,0,no
